repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
AI-Gov-Content-Curator,mostly_correct,0.5000,1.0000,8,0,4,0,0,1,1,docker-compose.yml,4,4,1,0
AI-RAG-Assistant-Chatbot,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
Aamir017_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
AbhayShaw0125_MERN-Docker-Compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,0
Abhinav-Rawat_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,MERN-docker-compose/docker-compose.yaml,2,2,0,0
Ahmad-sheikh1_real-time-collaborative-document-editing-system,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
Ahmed-Qaoud_mern2-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
AlbertArakelyan_post-ef,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
Alexander777kr_docker-compose-mern,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,1,1,0
Amanudeen_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Arju872_MERN-DOCKER-COMPOSE,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Ashishwakde26_Mern_docker_compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
BLemine_medium-article-dockerize-mern-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
BartekStolarek_MERN-Starter,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
BharathBR1_Dockerized-MERN-Todo-App,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
Bharathsimhareddy220_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
BuddyBudget,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,1,0,1,1
CRUD-react-node,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
CalendarApi-GUI-Expressjs-React,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,1
Car-React-Node-Project,wrong,0.0000,1.0000,1,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
Castelvill_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
ChethanRaj13_MERN-Docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,0
Clinic,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
CrudNatorAPI,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
DEVP1209_DockerCompose-MERN,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
DSDmark_SimpleCURD,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
DTan13_MERN-Docker-boilerplate,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
DarrylNnon_MERN-docker-compose-pro,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
Deepthi-123456789_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
